team_name,Other,Annie,Olaf,Galio,Twisted Fate,Xin Zhao,Urgot,LeBlanc,Vladimir,Fiddlesticks,Kayle,Master Yi,Alistar,Ryze,Sion,Sivir,Soraka,Teemo,Tristana,Warwick,Nunu,Miss Fortune,Ashe,Tryndamere,Jax,Morgana,Zilean,Singed,Evelynn,Twitch,Karthus,Cho'Gath,Amumu,Rammus,Anivia,Shaco,Dr. Mundo,Sona,Kassadin,Irelia,Janna,Gangplank,Corki,Karma,Taric,Veigar,Trundle,Swain,Caitlyn,Blitzcrank,Malphite,Katarina,Nocturne,Maokai,Renekton,Jarvan IV,Elise,Orianna,Wukong,Brand,Lee Sin,Vayne,Rumble,Cassiopeia,Skarner,Heimerdinger,Nasus,Nidalee,Udyr,Poppy,Gragas,Pantheon,Ezreal,Mordekaiser,Yorick,Akali,Kennen,Garen,Leona,Malzahar,Talon,Riven,Kog'Maw,Shen,Lux,Xerath,Shyvana,Ahri,Graves,Fizz,Volibear,Rengar,Varus,Nautilus,Viktor,Sejuani,Fiora,Ziggs,Lulu,Draven,Hecarim,Kha'Zix,Darius,Jayce,Lissandra,Diana,Quinn,Syndra,Aurelion Sol,Kayn,Zoe,Zyra,Kai'Sa,Seraphine,Gnar,Zac,Yasuo,Vel'Koz,Taliyah,Akshan,Camille,Braum,Jhin,Kindred,Jinx,Tahm Kench,Viego,Senna,Lucian,Zed,Kled,Ekko,Qiyana,Vi,Aatrox,Nami,Azir,Yuumi,Samira,Thresh,Illaoi,Rek'Sai,Ivern,Kalista,Bard,Rakan,Xayah,Ornn,Sylas,Rell,Neeko,Aphelios,Pyke,Sett,Vex,Yone,Gwen,Lillia
Team Liquid,0,0.010101010101010102,0.06060606060606061,0.050505050505050504,0.06060606060606061,0.08080808080808081,0.010101010101010102,0.09090909090909091,0,0,0,0,0.030303030303030304,0.04040404040404041,0.030303030303030304,0.020202020202020204,0,0,0.1111111111111111,0,0,0.030303030303030304,0.010101010101010102,0,0.020202020202020204,0,0,0,0,0,0,0.010101010101010102,0,0,0,0,0.010101010101010102,0,0,0.020202020202020204,0,0.20202020202020202,0,0.010101010101010102,0,0.010101010101010102,0.08080808080808081,0,0.010101010101010102,0.020202020202020204,0.010101010101010102,0,0.04040404040404041,0,0.12121212121212122,0.020202020202020204,0,0.13131313131313133,0.0,0,0.1414141414141414,0,0.06060606060606061,0.010101010101010102,0.010101010101010102,0,0,0.08080808080808081,0.1414141414141414,0,0.04040404040404041,0.010101010101010102,0.10101010101010101,0,0,0.030303030303030304,0.030303030303030304,0,0.21212121212121213,0,0.010101010101010102,0,0,0.020202020202020204,0,0,0,0.030303030303030304,0.030303030303030304,0,0.04040404040404041,0,0.15151515151515152,0.10101010101010101,0.0707070707070707,0.0707070707070707,0,0.04040404040404041,0.030303030303030304,0.0,0.10101010101010101,0,0,0.10101010101010101,0,0.020202020202020204,0.010101010101010102,0.13131313131313133,0,0,0.010101010101010102,0,0.08080808080808081,0.04040404040404041,0.1717171717171717,0,0,0,0.030303030303030304,0,0.12121212121212122,0.050505050505050504,0.050505050505050504,0.0,0.020202020202020204,0.09090909090909091,0.0707070707070707,0.030303030303030304,0.050505050505050504,0,0.0,0,0,0,0.020202020202020204,0,0.10101010101010101,0.0,0.0707070707070707,0.16161616161616163,0,0.0,0,0.09090909090909091,0.020202020202020204,0.04040404040404041,0.08080808080808081,0.0,0.030303030303030304,0.1717171717171717,0,0.1111111111111111,0,0.020202020202020204,0,0.020202020202020204,0.010101010101010102,0.050505050505050504
Cloud9,0,0,0.06722689075630252,0.058823529411764705,0.09243697478991597,0.10084033613445378,0.0,0.07563025210084033,0,0.0,0,0,0.15966386554621848,0.08403361344537816,0.08403361344537816,0.008403361344537815,0,0,0.14285714285714285,0,0,0.09243697478991597,0.04201680672268908,0,0.025210084033613446,0.05042016806722689,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.058823529411764705,0,0.058823529411764705,0,0.05042016806722689,0.008403361344537815,0,0.03361344537815126,0,0.01680672268907563,0.008403361344537815,0.05042016806722689,0,0.03361344537815126,0.0,0.08403361344537816,0.01680672268907563,0,0.10084033613445378,0.008403361344537815,0,0.15126050420168066,0,0.03361344537815126,0,0.008403361344537815,0,0,0.05042016806722689,0.1092436974789916,0.008403361344537815,0.07563025210084033,0.008403361344537815,0.07563025210084033,0,0,0.04201680672268908,0.008403361344537815,0,0.15126050420168066,0,0,0,0.01680672268907563,0.0,0,0,0,0,0.03361344537815126,0,0.03361344537815126,0,0.17647058823529413,0.14285714285714285,0.04201680672268908,0.0,0,0.008403361344537815,0.058823529411764705,0.0,0.058823529411764705,0,0,0.07563025210084033,0.0,0.08403361344537816,0,0.04201680672268908,0,0.0,0.058823529411764705,0,0.21008403361344538,0.025210084033613446,0.06722689075630252,0,0.025210084033613446,0,0.06722689075630252,0,0.09243697478991597,0.058823529411764705,0.008403361344537815,0.05042016806722689,0.01680672268907563,0.1092436974789916,0.10084033613445378,0.05042016806722689,0.08403361344537816,0,0.0,0,0.01680672268907563,0,0.025210084033613446,0.0,0.04201680672268908,0.008403361344537815,0.01680672268907563,0.09243697478991597,0,0.01680672268907563,0,0.08403361344537816,0.01680672268907563,0.08403361344537816,0.008403361344537815,0.008403361344537815,0.06722689075630252,0.07563025210084033,0,0.058823529411764705,0,0.04201680672268908,0,0.058823529411764705,0.058823529411764705,0.08403361344537816
Evil Geniuses.NA,0,0,0.05714285714285714,0.11428571428571428,0.07142857142857142,0.1,0,0.05714285714285714,0,0,0,0,0.15714285714285714,0.15714285714285714,0.04285714285714286,0,0,0,0.21428571428571427,0,0,0.014285714285714285,0.014285714285714285,0,0,0.014285714285714285,0,0,0,0,0,0,0,0,0,0,0.02857142857142857,0,0,0.0,0,0.014285714285714285,0,0.0,0,0,0.014285714285714285,0,0,0,0.0,0,0.04285714285714286,0.014285714285714285,0.2,0.0,0.0,0.07142857142857142,0.014285714285714285,0,0.14285714285714285,0,0.04285714285714286,0,0.0,0,0,0.02857142857142857,0.05714285714285714,0,0.08571428571428572,0.0,0.05714285714285714,0,0,0.05714285714285714,0.02857142857142857,0,0.02857142857142857,0,0,0,0,0.014285714285714285,0,0,0,0,0.1,0,0.02857142857142857,0,0.05714285714285714,0.08571428571428572,0.0,0.0,0,0.02857142857142857,0.0,0,0.08571428571428572,0.0,0,0.04285714285714286,0,0.15714285714285714,0,0.11428571428571428,0,0.0,0.014285714285714285,0,0.21428571428571427,0.05714285714285714,0.24285714285714285,0,0,0,0.0,0,0.0,0.04285714285714286,0.1,0,0.02857142857142857,0.04285714285714286,0.15714285714285714,0.07142857142857142,0.17142857142857143,0,0,0.04285714285714286,0,0,0.05714285714285714,0,0.05714285714285714,0,0.04285714285714286,0.12857142857142856,0,0.0,0,0.0,0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.18571428571428572,0.07142857142857142,0.11428571428571428,0,0.12857142857142856,0,0.04285714285714286,0.02857142857142857,0.1
100 Thieves,0,0,0.15730337078651685,0.0449438202247191,0.06741573033707865,0.056179775280898875,0.0,0.056179775280898875,0,0,0,0,0.12359550561797752,0.16853932584269662,0.011235955056179775,0,0,0,0.07865168539325842,0,0,0.02247191011235955,0.033707865168539325,0.0,0.033707865168539325,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0.011235955056179775,0,0,0.011235955056179775,0,0.06741573033707865,0,0.0449438202247191,0,0,0.02247191011235955,0,0,0.0,0.011235955056179775,0,0.011235955056179775,0,0.2247191011235955,0.011235955056179775,0,0.2247191011235955,0.011235955056179775,0,0.16853932584269662,0.033707865168539325,0.056179775280898875,0,0.011235955056179775,0,0,0.056179775280898875,0.07865168539325842,0,0.06741573033707865,0.0,0.056179775280898875,0,0,0.0449438202247191,0.011235955056179775,0,0.21348314606741572,0,0.0,0,0.02247191011235955,0.02247191011235955,0,0,0,0,0.033707865168539325,0,0.011235955056179775,0,0.12359550561797752,0.07865168539325842,0.0,0,0,0.011235955056179775,0.02247191011235955,0.0,0.056179775280898875,0,0,0.056179775280898875,0.011235955056179775,0.07865168539325842,0,0.056179775280898875,0,0,0.033707865168539325,0,0.24719101123595505,0.0,0.16853932584269662,0.0,0.011235955056179775,0,0.06741573033707865,0,0.033707865168539325,0.056179775280898875,0.02247191011235955,0,0.011235955056179775,0.07865168539325842,0.16853932584269662,0.10112359550561797,0.06741573033707865,0,0,0.0,0,0,0.07865168539325842,0.033707865168539325,0.07865168539325842,0.011235955056179775,0.0,0.0898876404494382,0,0,0,0.0449438202247191,0.0,0.011235955056179775,0.033707865168539325,0.06741573033707865,0.07865168539325842,0.11235955056179775,0,0.14606741573033707,0,0.12359550561797752,0,0.0,0.06741573033707865,0.056179775280898875
FlyQuest,0,0,0.058823529411764705,0.0196078431372549,0.058823529411764705,0.0392156862745098,0,0.09803921568627451,0,0.0196078431372549,0,0,0.058823529411764705,0.0,0.0392156862745098,0,0.0196078431372549,0,0.11764705882352941,0,0,0.0392156862745098,0.0196078431372549,0,0,0.0,0,0,0,0,0,0.0392156862745098,0,0,0,0,0.0196078431372549,0,0,0.0392156862745098,0.0196078431372549,0.0392156862745098,0,0.0392156862745098,0,0,0.0,0,0.0196078431372549,0.0196078431372549,0,0,0.0392156862745098,0.0392156862745098,0.0196078431372549,0,0,0.09803921568627451,0.0392156862745098,0,0.23529411764705882,0.0196078431372549,0.0784313725490196,0.0,0.0196078431372549,0,0,0.0196078431372549,0.0784313725490196,0,0.11764705882352941,0.0,0.11764705882352941,0,0,0.0784313725490196,0,0,0.13725490196078433,0.0196078431372549,0,0,0.058823529411764705,0.058823529411764705,0,0,0,0,0.09803921568627451,0,0.0196078431372549,0,0.09803921568627451,0.09803921568627451,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0,0.13725490196078433,0,0,0.0,0,0.058823529411764705,0,0.09803921568627451,0,0.0,0.0196078431372549,0,0.13725490196078433,0.09803921568627451,0.11764705882352941,0,0,0,0.0196078431372549,0,0.058823529411764705,0.0392156862745098,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.13725490196078433,0.23529411764705882,0.09803921568627451,0.09803921568627451,0,0,0,0,0.0,0.0392156862745098,0,0.058823529411764705,0.0,0.0,0.09803921568627451,0,0,0,0.0196078431372549,0.0,0.058823529411764705,0.0392156862745098,0.0392156862745098,0.09803921568627451,0.1568627450980392,0,0.058823529411764705,0,0.0392156862745098,0,0.0784313725490196,0.13725490196078433,0.058823529411764705
Golden Guardians,0,0,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.018518518518518517,0,0.037037037037037035,0,0,0,0,0.16666666666666666,0.0,0.018518518518518517,0.05555555555555555,0,0,0.18518518518518517,0,0,0.018518518518518517,0,0,0,0.0,0,0.018518518518518517,0,0,0,0,0,0,0,0,0,0,0,0.0,0.037037037037037035,0.1111111111111111,0,0.0,0,0,0.037037037037037035,0.0,0,0,0,0,0.07407407407407407,0.0,0.14814814814814814,0,0,0.1111111111111111,0.037037037037037035,0,0.07407407407407407,0,0.05555555555555555,0.0,0.05555555555555555,0,0,0.018518518518518517,0.09259259259259259,0,0.1111111111111111,0.037037037037037035,0.05555555555555555,0,0,0.037037037037037035,0,0,0.12962962962962962,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,0.12962962962962962,0,0.05555555555555555,0.09259259259259259,0.037037037037037035,0,0,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0,0,0.018518518518518517,0,0.18518518518518517,0.018518518518518517,0.14814814814814814,0,0.018518518518518517,0.037037037037037035,0,0.24074074074074073,0.018518518518518517,0.1111111111111111,0.018518518518518517,0,0,0.037037037037037035,0,0.07407407407407407,0.05555555555555555,0.037037037037037035,0,0.07407407407407407,0.09259259259259259,0.14814814814814814,0.037037037037037035,0.07407407407407407,0,0.037037037037037035,0,0,0,0,0,0.05555555555555555,0.018518518518518517,0.0,0.1111111111111111,0,0.0,0,0.16666666666666666,0.018518518518518517,0.1111111111111111,0.07407407407407407,0.018518518518518517,0.05555555555555555,0.12962962962962962,0,0.05555555555555555,0,0.12962962962962962,0,0.018518518518518517,0.018518518518518517,0.12962962962962962
TSM,0,0,0.09876543209876543,0.037037037037037035,0.024691358024691357,0.08641975308641975,0.0,0.04938271604938271,0,0,0,0,0.14814814814814814,0.04938271604938271,0.012345679012345678,0,0,0,0.14814814814814814,0,0,0.024691358024691357,0.024691358024691357,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.037037037037037035,0,0,0.012345679012345678,0,0.037037037037037035,0.024691358024691357,0.012345679012345678,0,0,0.012345679012345678,0,0,0,0.0,0,0.1111111111111111,0.012345679012345678,0.16049382716049382,0.012345679012345678,0,0.18518518518518517,0.012345679012345678,0,0.2222222222222222,0,0.07407407407407407,0.024691358024691357,0.024691358024691357,0,0,0.08641975308641975,0.14814814814814814,0,0.08641975308641975,0.04938271604938271,0.08641975308641975,0,0,0.0,0,0,0.1728395061728395,0,0,0,0.012345679012345678,0.037037037037037035,0,0,0,0.012345679012345678,0.024691358024691357,0,0.037037037037037035,0,0.06172839506172839,0.14814814814814814,0.1111111111111111,0.0,0.0,0.012345679012345678,0.037037037037037035,0.0,0.08641975308641975,0,0,0.08641975308641975,0,0.07407407407407407,0,0.13580246913580246,0,0,0,0,0.20987654320987653,0.04938271604938271,0.1728395061728395,0,0,0,0.024691358024691357,0,0.07407407407407407,0.06172839506172839,0.07407407407407407,0,0.037037037037037035,0.037037037037037035,0.08641975308641975,0.024691358024691357,0.06172839506172839,0,0,0.0,0,0,0.0,0,0.24691358024691357,0,0.012345679012345678,0.037037037037037035,0,0,0,0.09876543209876543,0.04938271604938271,0.07407407407407407,0.09876543209876543,0.012345679012345678,0.0,0.13580246913580246,0,0.06172839506172839,0,0.0,0,0.0,0.012345679012345678,0.06172839506172839
Immortals,0,0,0.0,0.017241379310344827,0.05172413793103448,0.1206896551724138,0,0.05172413793103448,0,0,0,0,0.10344827586206896,0.034482758620689655,0.017241379310344827,0,0,0,0.20689655172413793,0,0,0,0.0,0,0.0,0,0,0,0,0,0.017241379310344827,0,0,0,0,0,0,0,0,0.034482758620689655,0,0.017241379310344827,0,0.08620689655172414,0.0,0,0.017241379310344827,0,0,0.034482758620689655,0.017241379310344827,0,0.10344827586206896,0,0.06896551724137931,0,0,0.1724137931034483,0,0,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.017241379310344827,0,0,0,0.017241379310344827,0.034482758620689655,0,0.15517241379310345,0.017241379310344827,0.10344827586206896,0,0,0.05172413793103448,0,0,0.1206896551724138,0,0,0,0,0.0,0,0,0,0.0,0.034482758620689655,0,0.06896551724137931,0,0.08620689655172414,0.1724137931034483,0.034482758620689655,0,0.0,0.1206896551724138,0.034482758620689655,0.08620689655172414,0.15517241379310345,0,0,0.1206896551724138,0,0.05172413793103448,0,0.10344827586206896,0,0.05172413793103448,0,0,0.13793103448275862,0.034482758620689655,0.017241379310344827,0.017241379310344827,0.0,0,0.0,0,0.1724137931034483,0.034482758620689655,0.034482758620689655,0.017241379310344827,0.05172413793103448,0.06896551724137931,0.1896551724137931,0.034482758620689655,0.1896551724137931,0,0.0,0,0,0,0.034482758620689655,0,0.08620689655172414,0.017241379310344827,0.0,0.13793103448275862,0,0,0.017241379310344827,0.034482758620689655,0,0.1206896551724138,0.034482758620689655,0.034482758620689655,0.017241379310344827,0.1206896551724138,0,0.06896551724137931,0,0.06896551724137931,0,0.0,0.1206896551724138,0.13793103448275862
Dignitas,0,0,0.0,0.01694915254237288,0.03389830508474576,0.1016949152542373,0,0.0,0,0,0,0,0.22033898305084745,0.01694915254237288,0.01694915254237288,0,0,0,0.01694915254237288,0,0,0,0,0,0,0,0,0,0,0,0.01694915254237288,0,0,0,0,0,0.01694915254237288,0,0.01694915254237288,0.05084745762711865,0,0.15254237288135594,0,0.03389830508474576,0.0,0,0.01694915254237288,0.01694915254237288,0,0.03389830508474576,0.0,0,0.01694915254237288,0,0.2711864406779661,0.01694915254237288,0,0.06779661016949153,0,0,0.13559322033898305,0,0.1016949152542373,0,0.05084745762711865,0,0,0.03389830508474576,0.0847457627118644,0.0,0.15254237288135594,0.0,0.2033898305084746,0.03389830508474576,0,0.1016949152542373,0,0,0.2033898305084746,0,0,0,0,0,0,0,0,0.03389830508474576,0.01694915254237288,0,0.0847457627118644,0.01694915254237288,0.0,0.1016949152542373,0.01694915254237288,0,0,0.05084745762711865,0.01694915254237288,0.03389830508474576,0.05084745762711865,0,0.01694915254237288,0.01694915254237288,0,0.1016949152542373,0,0.0847457627118644,0,0.0847457627118644,0.0847457627118644,0,0.1016949152542373,0.05084745762711865,0.22033898305084745,0.01694915254237288,0.06779661016949153,0,0.01694915254237288,0,0.01694915254237288,0.06779661016949153,0,0.05084745762711865,0,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.01694915254237288,0,0,0,0.01694915254237288,0,0.03389830508474576,0,0.0847457627118644,0,0.06779661016949153,0.1694915254237288,0,0.0,0,0.1864406779661017,0.0,0.1016949152542373,0.13559322033898305,0,0.0847457627118644,0.01694915254237288,0,0.11864406779661017,0,0.06779661016949153,0,0.03389830508474576,0.06779661016949153,0.01694915254237288
Counter Logic Gaming,0,0,0.061224489795918366,0.10204081632653061,0.061224489795918366,0.04081632653061224,0,0.02040816326530612,0,0,0,0,0.12244897959183673,0.061224489795918366,0.061224489795918366,0,0,0,0.16326530612244897,0,0,0.0,0.02040816326530612,0,0,0.02040816326530612,0,0,0,0,0.02040816326530612,0.02040816326530612,0,0,0,0,0.04081632653061224,0,0,0.061224489795918366,0,0.10204081632653061,0.02040816326530612,0.02040816326530612,0,0,0.02040816326530612,0,0,0,0.02040816326530612,0,0.02040816326530612,0,0.16326530612244897,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.02040816326530612,0,0.12244897959183673,0,0.0,0,0.0,0,0,0.061224489795918366,0.02040816326530612,0,0.061224489795918366,0.0,0.08163265306122448,0,0,0.061224489795918366,0.0,0,0.22448979591836735,0.0,0,0,0,0.0,0,0,0,0,0.10204081632653061,0,0.02040816326530612,0,0.08163265306122448,0.14285714285714285,0.061224489795918366,0.02040816326530612,0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.02040816326530612,0,0.0,0.061224489795918366,0.061224489795918366,0,0.061224489795918366,0,0,0.08163265306122448,0,0.12244897959183673,0.02040816326530612,0.061224489795918366,0,0.0,0,0.04081632653061224,0,0.02040816326530612,0.061224489795918366,0.061224489795918366,0,0.02040816326530612,0.02040816326530612,0.08163265306122448,0.0,0.14285714285714285,0,0.08163265306122448,0.02040816326530612,0,0.08163265306122448,0.061224489795918366,0,0.08163265306122448,0,0.10204081632653061,0.08163265306122448,0,0.04081632653061224,0,0.16326530612244897,0,0.12244897959183673,0.08163265306122448,0.04081632653061224,0.04081632653061224,0.16326530612244897,0,0.08163265306122448,0,0.10204081632653061,0,0,0.12244897959183673,0.14285714285714285
